Boundary Condition test file 
1982-01-15 12:30:00
hf_top, ustr_t, vstr_t, wave_l, wave_h, w_angle
0.0     -100.  0.1    0.0 24.0  1.5 90.0
2.0      -10.  0.1    0.0 24.0  1.5 90.0
4.0      -10.  0.1    0.0 24.0  1.5 90.0
6.0      -10.  0.1    0.0 24.0  1.5 90.0
8.0      -10.  0.1    0.0 24.0  1.5 90.0
10.0     -10.  0.1    0.0 24.0  1.5 90.0
12.0      10.  0.1    0.0 24.0  1.5 90.0
14.0     350.  0.1    0.0 24.0  1.5 90.0
16.0     600.  0.1    0.0 24.0  1.5 90.0
18.0     600.  0.1    0.0 24.0  1.5 90.0
20.0     350.  0.1    0.0 24.0  1.5 90.0
22.0      10.  0.1    0.0 24.0  1.5 90.0
24.0    -160.  0.1    0.0 24.0  1.5 90.0
26.0    -160.  0.1    0.0 24.0  1.5 90.0
28.0    -160.  0.1    0.0 24.0  1.5 90.0
30.0    -160.  0.1    0.0 24.0  1.5 90.0
32.0    -160.  0.1    0.0 24.0  1.5 90.0
34.0    -160.  0.1    0.0 24.0  1.5 90.0
36.0      10.  0.1    0.0 24.0  1.5 90.0
38.0     350.  0.1    0.0 24.0  1.5 90.0
40.0     600.  0.1    0.0 24.0  1.5 90.0
42.0     600.  0.1    0.0 24.0  1.5 90.0
44.0     350.  0.1    0.0 24.0  1.5 90.0
46.0      10.  0.1    0.0 24.0  1.5 90.0
48.0    -160.  0.1    0.0 24.0  1.5 90.0
50.0    -160.  0.1    0.0 24.0  1.5 90.0
52.0    -160.  0.1    0.0 24.0  1.5 90.0
54.0    -160.  0.1    0.0 24.0  1.5 90.0
56.0    -160.  0.1    0.0 24.0  1.5 90.0
58.0    -160.  0.1    0.0 24.0  1.5 90.0
60.0      10.  0.1    0.0 24.0  1.5 90.0
62.0     350.  0.1    0.0 24.0  1.5 90.0
64.0     600.  0.1    0.0 24.0  1.5 90.0
66.0     600.  0.1    0.0 24.0  1.5 90.0
68.0     350.  0.1    0.0 24.0  1.5 90.0
70.0      10.  0.1    0.0 24.0  1.5 90.0
72.0    -160.  0.1    0.0 24.0  1.5 90.0
